༢ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
ལོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ལོབ | ལོབ_ད་ལྟ་བ།_###+ལོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལབ_སྐུལ་ཚིག_ཐ་དད་པ+ལོབ_མ་འོངས་པ།_###+ལོབ_མ་འོངས་པ།_ཐ་མི་དད་པ
ལོབས | ལོབ_འདས་པ།_###+ལོབ_འདས་པ།_ཐ་མི་དད་པ
ལོས | ལས_སྐུལ་ཚིག_ཐ་དད་པ
ལྐུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྕིགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
ལྕིབས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ལྕེབ | ལྕེབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྕེབ_མ་འོངས་པ།_ཐ་མི་དད་པ
ལྕེབས | ལྕེབ_འདས་པ།_ཐ་མི་དད་པ+ལྕེབ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ལྟ | ལྟ_ད་ལྟ་བ།_ཐ་དད་པ+ལྟ_ད་ལྟ་བ།_###
ལྟབ | ལྟབ_ད་ལྟ་བ།_ཐ་དད་པ
ལྟམ | ལྟམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྟུང_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྟིར | བྱ་ཚིག_ཐ་མི་དད་པ
ལྟེབ | ལྟེབ_ད་ལྟ་བ།_ཐ་དད་པ
ལྟེབས | ལྟེབ_སྐུལ་ཚིག_ཐ་དད་པ
ལྟེམ | ལྟེམ_ད་ལྟ་བ།_###+ལྟེམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྟེམས | ལྟེམ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ལྟོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྟོབས | ལྟབ_སྐུལ་ཚིག_ཐ་དད་པ
ལྟོམས | ལྟམ_སྐུལ་ཚིག_ཐ་མི་དད་པ+ལྟུང_སྐུལ་ཚིག_ཐ་མི་དད་པ
ལྟོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ལྟ_སྐུལ་ཚིག_###+ལྟ_སྐུལ་ཚིག_ཐ་དད་པ
ལྡག | ལྡག_ད་ལྟ་བ།_ཐ་དད་པ
ལྡང | ལྡང_མ་འོངས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###+ལྡང_ད་ལྟ་བ།_###
ལྡངས | ལྡང_འདས་པ།_###
ལྡད | ལྡད_ད་ལྟ་བ།_ཐ་དད་པ
ལྡབ | ལྡབ_ད་ལྟ་བ།_ཐ་དད་པ
ལྡར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡིག | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ལྡུག | ལྡུག_ད་ལྟ་བ།_ཐ་དད་པ+ལྡུག_མ་འོངས་པ།_ཐ་དད་པ
ལྡུགས | ལྡུག_སྐུལ་ཚིག_ཐ་དད་པ+ལྡུག_འདས་པ།_ཐ་དད་པ
ལྡུད | ལྡུད_མ་འོངས་པ།_ཐ་དད་པ+ལྡུད_ད་ལྟ་བ།_ཐ་དད་པ
ལྡུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡེ | ལྡེ_ད་ལྟ་བ།_ཐ་དད་པ+ལྡེ_མ་འོངས་པ།_ཐ་དད་པ
ལྡེག | ལྡེག_ད་ལྟ་བ།_ཐ་དད་པ+ལྡེག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡེགས | ལྡེག_སྐུལ་ཚིག_ཐ་དད་པ
ལྡེང | ལྡེང_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྡེང_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡེངས | ལྡེང_འདས་པ།_ཐ་མི་དད་པ
ལྡེམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྡེས | ལྡེ_འདས་པ།_ཐ་དད་པ+ལྡེ_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ལྡོགཁྱབཀྱིམཚནཉིདཟུརདུཉིདསྨོསཔ | བྱ་ཚིག_###
ལྡོགས | ལྡག_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོང | ལྡོང_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྡོང_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡོངས | ལྡོང_འདས་པ།_ཐ་མི་དད་པ+ལྡང_སྐུལ་ཚིག_###
ལྡོད | ལྡད_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ལྡོབ | ལྡོབ_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྡོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྡོབས | ལྡོབ_འདས་པ།_ཐ་མི་དད་པ+ལྡབ_སྐུལ་ཚིག_ཐ་དད་པ
ལྡོམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྦོས | བྱ་ཚིག_ཐ་མི་དད་པ
ལྷགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷུག | ལྷུག_མ་འོངས་པ།_ཐ་མི་དད་པ+ལྷུག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ལྷུགས | ལྷུག_འདས་པ།_ཐ་མི་དད་པ
ལྷུང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷོགས | བྱ་ཚིག_###
ལྷོང | ལྷོང_ད་ལྟ་བ།_###+ལྷོང_མ་འོངས་པ།_###+ལྷོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+ལྷོང_མ་འོངས་པ།_ཐ་མི་དད་པ
ལྷོངས | ལྷོང_འདས་པ།_ཐ་མི་དད་པ+ལྷོང_འདས་པ།_###
ལྷོད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ལྷོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཤན | བྱ་ཚིག_###+བྱ་ཚིག_ཐ་དད་པ
ཤབ | ཤབ_ད་ལྟ་བ།_ཐ་དད་པ+ཤབ_མ་འོངས་པ།_ཐ་དད་པ
ཤབས | ཤབ_འདས་པ།_ཐ་དད་པ
ཤར | འཆར_འདས་པ།_###+འཆར_འདས་པ།_ཐ་མི་དད་པ
ཤི | འཆི_འདས་པ།_###+འཆི_འདས་པ།_ཐ་མི་དད་པ
ཤིག | ཤིག_ད་ལྟ་བ།_ཐ་དད་པ+འཇིག_སྐུལ་ཚིག_ཐ་དད་པ
ཤིགས | ཤིག_སྐུལ་ཚིག_ཐ་དད་པ
ཤིང | བྱ་ཚིག_ཐ་མི་དད་པ
ཤིས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤུག | ཤུག_ད་ལྟ་བ།_ཐ་དད་པ
ཤུགས | ཤུག_སྐུལ་ཚིག_ཐ་དད་པ
ཤུངས | གཤུང_སྐུལ་ཚིག_ཐ་དད་པ
ཤུད | བཤུད_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤུབ | ཤུབ_ད་ལྟ་བ།_ཐ་དད་པ
ཤུབས | ཤུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཤུམ | ཤུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཤུམས | ཤུམ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ཤུར | གཤུར_སྐུལ་ཚིག_ཐ་དད་པ
ཤུས | བཤུ_སྐུལ་ཚིག_ཐ་དད་པ+བཤུ_སྐུལ་ཚིག_###
ཤེར | གཤེར_སྐུལ་ཚིག_###
ཤེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཤོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཤོད | འཆད_སྐུལ་ཚིག_ཐ་དད་པ
ཤོབས | ཤབ_སྐུལ་ཚིག_ཐ་དད་པ
ཤོམ | བྱ་ཚིག_ཐ་དད་པ
ཤོམས | གཤོམ_སྐུལ་ཚིག_ཐ་དད་པ+གཤོམ_སྐུལ་ཚིག_###
ཤོར | འཆོར_འདས་པ།_###+འཆོར_འདས་པ།_ཐ་མི་དད་པ
ཤོལ | བཤལ_སྐུལ་ཚིག_###+བཤལ_སྐུལ་ཚིག_ཐ་དད་པ
ཤོས | གཤོ_སྐུལ་ཚིག_ཐ་དད་པ
སངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སིགས | གསིག_སྐུལ་ཚིག_ཐ་དད་པ
སིམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
སུན | སུན_ད་ལྟ་བ།_ཐ་མི་དད་པ
སུབ | སུབ_ད་ལྟ་བ།_ཐ་དད་པ
སུབས | སུབ_སྐུལ་ཚིག_ཐ་དད་པ
སུམ | སུམ_ད་ལྟ་བ།_ཐ་དད་པ
སུམས | སུམ_སྐུལ་ཚིག_ཐ་དད་པ
སེག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེམས | སེམས_ད་ལྟ་བ།_ཐ་དད་པ
སེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སེལ | སེལ_ད་ལྟ་བ།_ཐ་དད་པ+སེལ_ད་ལྟ་བ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སོགས | གསོག_སྐུལ་ཚིག_###+གསོག_སྐུལ་ཚིག_ཐ་དད་པ
སོང | འགྲོ_འདས་པ།_ཐ་མི་དད་པ+འགྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+འགྲོ_འདས་པ།_###
སོངས | བསང_སྐུལ་ཚིག_ཐ་དད་པ
སོད | གསོད_སྐུལ་ཚིག_###+གསོད_སྐུལ་ཚིག_ཐ་དད་པ
སོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སོབས | གསོབ_སྐུལ་ཚིག_ཐ་དད་པ+གསོབ_སྐུལ་ཚིག_###
སོམས | སེམས_སྐུལ་ཚིག_ཐ་དད་པ
སོལ | སེལ_སྐུལ་ཚིག_###+སེལ_སྐུལ་ཚིག_ཐ་དད་པ
སོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
སྐུག | སྐུག_ད་ལྟ་བ།_ཐ་དད་པ
སྐུགས | སྐུག_སྐུལ་ཚིག_ཐ་དད་པ
སྐུང | སྐུང_ད་ལྟ་བ།_ཐ་དད་པ
སྐུངས | སྐུང_སྐུལ་ཚིག_ཐ་དད་པ
སྐུད | སྐུད_ད་ལྟ་བ།_ཐ་དད་པ
སྐུམ | སྐུམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐུམས | སྐུམ_སྐུལ་ཚིག_ཐ་དད་པ
སྐུར | སྐུར_ད་ལྟ་བ།_ཐ་དད་པ+སྐུར_ད་ལྟ་བ།_###+སྐུར_སྐུལ་ཚིག_###+སྐུར_སྐུལ་ཚིག_ཐ་དད་པ
སྐུལ | སྐུལ_སྐུལ་ཚིག_ཐ་དད་པ+སྐུལ_ད་ལྟ་བ།_ཐ་དད་པ
སྐུས | སྐུད_སྐུལ་ཚིག_ཐ་དད་པ
སྐེམ | སྐེམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྐེམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐོ | སྐོ_ད་ལྟ་བ།_ཐ་དད་པ
སྐོང | སྐོང_ད་ལྟ་བ།_###+སྐོང_ད་ལྟ་བ།_ཐ་དད་པ
སྐོངས | སྐོང_སྐུལ་ཚིག_###+སྐོང_སྐུལ་ཚིག_ཐ་དད་པ
སྐོན | སྐོན_ད་ལྟ་བ།_ཐ་དད་པ+སྐོན_སྐུལ་ཚིག_ཐ་དད་པ
སྐོམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
སྐོམས | སྐེམ_སྐུལ་ཚིག_ཐ་དད་པ
སྐོར | སྐོར_སྐུལ་ཚིག_###+སྐོར_སྐུལ་ཚིག_ཐ་དད་པ+སྐོར_ད་ལྟ་བ།_ཐ་དད་པ+སྐོར_ད་ལྟ་བ།_###
སྐོལ | སྐོལ_ད་ལྟ་བ།_ཐ་དད་པ
སྐོས | སྐོ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱ | སྐྱ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱི | སྐྱི_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱིལ | སྐྱིལ_སྐུལ་ཚིག_###+སྐྱིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱིལ_ད་ལྟ་བ།_###+སྐྱིལ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱིས | སྐྱི_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུག | སྐྱུག_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུགས | སྐྱུག_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུང | སྐྱུང_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུངས | སྐྱུང_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱུད | སྐྱུད_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱུར | སྐྱུར_སྐུལ་ཚིག_###+སྐྱུར_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱུར_ད་ལྟ་བ།_###+སྐྱུར_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱེ | སྐྱེ_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྐྱེ_མ་འོངས་པ།_ཐ་མི་དད་པ
སྐྱེངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྐྱེད | སྐྱེད_སྐུལ་ཚིག_###+སྐྱེད_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱེད_ད་ལྟ་བ།_###+སྐྱེད_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱེལ | སྐྱེལ_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱེལ_ད་ལྟ་བ།_###
སྐྱེས | སྐྱེ_འདས་པ།_ཐ་མི་དད་པ
སྐྱོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
སྐྱོག | སྐྱོག_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོག_ད་ལྟ་བ།_###
སྐྱོགས | སྐྱོག_སྐུལ་ཚིག_###+སྐྱོག_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོང | སྐྱོང_ད་ལྟ་བ།_###+སྐྱོང_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོངས | སྐྱོང_སྐུལ་ཚིག_###+སྐྱོང_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོད | སྐྱོད_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོད_སྐུལ་ཚིག_###+སྐྱོད_ད་ལྟ་བ།_###+སྐྱོད_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོན | སྐྱོན_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོན_སྐུལ་ཚིག_###+སྐྱོན_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོན_ད་ལྟ་བ།_###
སྐྱོབ | སྐྱོབ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོབས | སྐྱོབ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོམ | སྐྱོམ_ད་ལྟ་བ།_###+སྐྱོམ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྱོམས | སྐྱོམ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྱོམ_སྐུལ་ཚིག_###
སྐྱོར | སྐྱོར_ད་ལྟ་བ།_###+སྐྱོར_ད་ལྟ་བ།_ཐ་དད་པ+སྐྱོར_སྐུལ་ཚིག_###+སྐྱོར_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོལ | སྐྱེལ_སྐུལ་ཚིག_###+སྐྱེལ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྱོས | སྐྱ_སྐུལ་ཚིག_ཐ་དད་པ
སྐྲག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྐྲང | སྐྲང_ད་ལྟ་བ།_ཐ་དད་པ+སྐྲང_མ་འོངས་པ།_ཐ་དད་པ
སྐྲངས | སྐྲང_འདས་པ།_ཐ་དད་པ
སྐྲབ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
སྐྲུ | སྐྲུ_ད་ལྟ་བ།_###+སྐྲུ_ད་ལྟ་བ།_ཐ་དད་པ
སྐྲུན | སྐྲུན_སྐུལ་ཚིག_ཐ་དད་པ+སྐྲུན_ད་ལྟ་བ།_ཐ་དད་པ
སྐྲུས | སྐྲུ_སྐུལ་ཚིག_ཐ་དད་པ+སྐྲུ_སྐུལ་ཚིག_###
སྐྲོག | སྐྲོག_ད་ལྟ་བ།_ཐ་དད་པ+སྐྲོག_ད་ལྟ་བ།_###
སྐྲོགས | སྐྲོག_སྐུལ་ཚིག_###+སྐྲོག_སྐུལ་ཚིག_ཐ་དད་པ
སྐྲོད | སྐྲོད_སྐུལ་ཚིག_ཐ་དད་པ+སྐྲོད_ད་ལྟ་བ།_ཐ་དད་པ
སྒབ | སྒབ_ད་ལྟ་བ།_ཐ་དད་པ
སྒར | སྒར_ད་ལྟ་བ།_ཐ་དད་པ
སྒུག | སྒུག_ད་ལྟ་བ།_ཐ་དད་པ
སྒུགས | སྒུག_སྐུལ་ཚིག_ཐ་དད་པ
སྒུར | སྒུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+སྒུར_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྒུལ | སྒུལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒུལ_ད་ལྟ་བ།_ཐ་དད་པ
སྒོ | སྒོ_ད་ལྟ་བ།_###+སྒོ_ད་ལྟ་བ།_ཐ་དད་པ
སྒོག | སྒོག_ད་ལྟ་བ།_###+སྒོག_ད་ལྟ་བ།_ཐ་དད་པ
སྒོགས | སྒོག_སྐུལ་ཚིག_###+སྒོག_སྐུལ་ཚིག_ཐ་དད་པ
སྒོངས | སྒོང_སྐུལ་ཚིག_###+སྒོང_སྐུལ་ཚིག_ཐ་དད་པ
སྒོབས | སྒབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒོམ | སྒོམ_ད་ལྟ་བ།_ཐ་དད་པ
སྒོམས | སྒོམ_སྐུལ་ཚིག_ཐ་དད་པ
སྒོར | གཟུགས་མི་འགྱུར་བ_###+སྒར_སྐུལ་ཚིག_ཐ་དད་པ+སྒོར_ད་ལྟ་བ།_ཐ་དད་པ+སྒོར_སྐུལ་ཚིག_ཐ་དད་པ
སྒོས | སྒོ_སྐུལ་ཚིག_###+སྒོ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྱང | སྒྱང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྱིང | སྒྱིང_ད་ལྟ་བ།_ཐ་དད་པ+སྒྱིང_ད་ལྟ་བ།_###
སྒྱིངས | སྒྱིང_སྐུལ་ཚིག_###+སྒྱིང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྱུར | སྒྱུར_སྐུལ་ཚིག_###+སྒྱུར_ད་ལྟ་བ།_###+སྒྱུར_སྐུལ་ཚིག_ཐ་དད་པ+སྒྱུར_ད་ལྟ་བ།_ཐ་དད་པ
སྒྱེལ | སྒྱེལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྱེལ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྱོངས | སྒྱང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲང | སྒྲོང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིག | སྒྲིག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིགས | སྒྲིག_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིན | སྒྲིན_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲིན_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིབ | སྒྲིབ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིབས | སྒྲིབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིམ | སྒྲིམ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲིམས | སྒྲིམ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲིལ | སྒྲིལ_ད་ལྟ་བ།_###+སྒྲིལ_སྐུལ་ཚིག_###+སྒྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲིལ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུག | སྒྲུག_ད་ལྟ་བ།_###+སྒྲུག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུགས | སྒྲུག_སྐུལ་ཚིག_###+སྒྲུག_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲུང | སྒྲུང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུངས | སྒྲུང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲུན | སྒྲུན_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲུན_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲུབ | སྒྲུབ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲུབ_ད་ལྟ་བ།_###
སྒྲུབས | སྒྲུབ_སྐུལ་ཚིག_###+སྒྲུབ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲེ | སྒྲེ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲེ_ད་ལྟ་བ།_###
སྒྲེང | སྒྲེང_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲེངས | སྒྲེང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲེས | སྒྲེ_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲེ_སྐུལ་ཚིག_###
སྒྲོ | སྒྲོ_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོག | སྒྲོག_ད་ལྟ་བ།_###+སྒྲོག_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོགས | སྒྲོག_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོག_སྐུལ་ཚིག_###
སྒྲོངས | སྒྲོང_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲོད | སྒྲོད_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོད_ད་ལྟ་བ།_ཐ་དད་པ
སྒྲོན | སྒྲོན_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོན_ད་ལྟ་བ།_###+སྒྲོན_སྐུལ་ཚིག_ཐ་དད་པ+སྒྲོན_སྐུལ་ཚིག_###
སྒྲོལ | སྒྲོལ_སྐུལ་ཚིག_###+སྒྲོལ_ད་ལྟ་བ།_ཐ་དད་པ+སྒྲོལ_ད་ལྟ་བ།_###+སྒྲོལ_སྐུལ་ཚིག_ཐ་དད་པ
སྒྲོས | སྒྲོ_སྐུལ་ཚིག_ཐ་དད་པ
སྔངས | སྔངས_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྔབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྔམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
སྔོ | སྔོ_ད་ལྟ་བ།_ཐ་དད་པ
སྔོག | སྔོག_ད་ལྟ་བ།_ཐ་དད་པ+སྔོག_ད་ལྟ་བ།_###
སྔོགས | སྔོག_སྐུལ་ཚིག_###+སྔོག_སྐུལ་ཚིག_ཐ་དད་པ
སྔོས | སྔོ_སྐུལ་ཚིག_ཐ་དད་པ
སྙ | སྙ_མ་འོངས་པ།_ཐ་མི་དད་པ+སྙ_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྙ_མ་འོངས་པ།_###+སྙ_ད་ལྟ་བ།_###
སྙད | སྙད_ད་ལྟ་བ།_ཐ་དད་པ
སྙམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
སྙལ | སྙལ_ད་ལྟ་བ།_###+སྙལ_ད་ལྟ་བ།_ཐ་དད་པ
སྙས | སྙ_འདས་པ།_ཐ་མི་དད་པ+སྙ_འདས་པ།_###
སྙིག | སྙིག_ད་ལྟ་བ།_ཐ་དད་པ+སྙིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྙིག_མ་འོངས་པ།_###+སྙིག_མ་འོངས་པ།_ཐ་མི་དད་པ+སྙིག_ད་ལྟ་བ།_###
སྙིགས | སྙིག_འདས་པ།_###+སྙིག_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+སྙིག_འདས་པ།_ཐ་མི་དད་པ
སྙིལ | སྙིལ_ད་ལྟ་བ།_ཐ་དད་པ+སྙིལ_སྐུལ་ཚིག_ཐ་དད་པ+སྙིལ_ད་ལྟ་བ།_###+སྙིལ_སྐུལ་ཚིག_###
སྙུག | སྙུག_ད་ལྟ་བ།_ཐ་དད་པ
སྙུགས | སྙུག_སྐུལ་ཚིག_ཐ་དད་པ
སྙུང | སྙུང_ད་ལྟ་བ།_ཐ་དད་པ+སྙུང_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྙུངས | སྙུང_སྐུལ་ཚིག_ཐ་དད་པ
སྙུན | སྙུན_ད་ལྟ་བ།_ཐ་མི་དད་པ
སྙུལ | སྙུལ_སྐུལ་ཚིག_ཐ་དད་པ+སྙུལ_ད་ལྟ་བ།_ཐ་དད་པ
སྙེ | སྙེ_ད་ལྟ་བ།_ཐ་དད་པ
སྙེག | སྙེག_ད་ལྟ་བ།_###+སྙེག_ད་ལྟ་བ།_ཐ་དད་པ
སྙེང | སྙེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+སྙེང_ད་ལྟ་བ།_###+སྙེང_ད་ལྟ་བ།_ཐ་དད་པ
སྙེངས | སྙེང_སྐུལ་ཚིག_ཐ་དད་པ
སྙེན | སྙེན_ད་ལྟ་བ།_ཐ་དད་པ+སྙེན_སྐུལ་ཚིག_ཐ་དད་པ
སྙེམ | སྙེམ_ད་ལྟ་བ།_ཐ་དད་པ
སྙེམས | སྙེམ_སྐུལ་ཚིག_ཐ་དད་པ
སྙེར | སྙེར_སྐུལ་ཚིག_ཐ་དད་པ+སྙེར_ད་ལྟ་བ།_ཐ་དད་པ
སྙེལ | སྙེལ_ད་ལྟ་བ།_ཐ་དད་པ
སྙེས | སྙེ_སྐུ་ཚིག_ཐ་དད་པ
སྙོག | སྙོག_ད་ལྟ་བ།_ཐ་དད་པ+སྙོག_ད་ལྟ་བ།_###
སྙོགས | སྙེག_སྐུལ་ཚིག_ཐ་དད་པ+སྙོག_སྐུལ་ཚིག_ཐ་དད་པ+སྙོག_སྐུལ་ཚིག_###+སྙེག_སྐུལ་ཚིག_###
སྙོད | སྙད_སྐུལ་ཚིག_ཐ་དད་པ+སྙོད_ད་ལྟ་བ།_ཐ་དད་པ+སྙོད_སྐུལ་ཚིག_ཐ་དད་པ+སྙོད_ད་ལྟ་བ།_###+སྙོད_སྐུལ་ཚིག_###
