ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
རིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རུབ | རུབ_མ་འོངས་པ།_ཐ་མི་དད་པ+རུབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རུབ_ད་ལྟ་བ།_ཐ་དད་པ+རུབ_མ་འོངས་པ།_ཐ་དད་པ+རུབ_ད་ལྟ་བ།_###+རུབ_མ་འོངས་པ།_###
རུབས | རུབ_འདས་པ།_ཐ་མི་དད་པ+རུབ_སྐུལ་ཚིག_ཐ་དད་པ+རུབ_འདས་པ།_ཐ་དད་པ+རུབ_འདས་པ།_###
རུམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རེ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རེག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རེམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རྐམ | རྐོམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྐམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྐམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྐམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྐུ | རྐུས_ད་ལྟ་བ།_ཐ་དད་པ+བརྐུ_ད་ལྟ་བ།_ཐ་དད་པ+བརྐུས_ད་ལྟ་བ།_ཐ་དད་པ+རྐུ_ད་ལྟ་བ།_ཐ་དད་པ
རྐུས | བརྐུས_སྐུལ་ཚིག_ཐ་དད་པ+བརྐུ_སྐུལ་ཚིག_ཐ་དད་པ+རྐུ_སྐུལ་ཚིག_ཐ་དད་པ+རྐུས_སྐུལ་ཚིག_ཐ་དད་པ
རྐོ | བརྐོ_ད་ལྟ་བ།_ཐ་དད་པ+རྐོ_ད་ལྟ་བ།_ཐ་དད་པ+རྐོས_ད་ལྟ་བ།_ཐ་དད་པ+བརྐོས_ད་ལྟ་བ།_ཐ་དད་པ
རྐོམས | རྐོམས_སྐུལ་ཚིག_ཐ་མི་དད་པ
རྐོས | བརྐོ_སྐུལ་ཚིག_ཐ་དད་པ+བརྐོས_སྐུལ་ཚིག_ཐ་དད་པ+རྐོས_སྐུལ་ཚིག_ཐ་དད་པ+རྐོ_སྐུལ་ཚིག_ཐ་དད་པ
རྐྱལ | རྐྱལ_མ་འོངས་པ།_ཐ་དད་པ+རྐྱལ_འདས་པ།_ཐ་དད་པ+རྐྱལ_ད་ལྟ་བ།_ཐ་དད་པ+རྐྱོལ_ད་ལྟ་བ།_ཐ་དད་པ+རྐྱོལ_མ་འོངས་པ།_ཐ་དད་པ+རྐྱོལ_འདས་པ།_ཐ་དད་པ
རྐྱོང | བརྐྱང_ད་ལྟ་བ།_ཐ་དད་པ+བརྐྱངས_ད་ལྟ་བ།_ཐ་དད་པ+རྐྱོང_ད་ལྟ་བ།_ཐ་དད་པ+རྐྱོངས_ད་ལྟ་བ།_ཐ་དད་པ
རྐྱོངས | བརྐྱང_སྐུལ་ཚིག_ཐ་དད་པ+བརྐྱངས_སྐུལ་ཚིག_ཐ་དད་པ+རྐྱོངས_སྐུལ་ཚིག_ཐ་དད་པ+རྐྱོང_སྐུལ་ཚིག_ཐ་དད་པ
རྐྱོལ | རྐྱལ_སྐུལ་ཚིག_ཐ་དད་པ+རྐྱོལ_སྐུལ་ཚིག_ཐ་དད་པ
རྒ | རྒ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒ_མ་འོངས་པ།_ཐ་མི་དད་པ+རྒས_མ་འོངས་པ།_ཐ་མི་དད་པ
རྒལ | རྒལ_ད་ལྟ་བ།_###+རྒལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒལ_ད་ལྟ་བ།_ཐ་དད་པ+རྒོལ_ད་ལྟ་བ།_###
རྒས | རྒས_འདས་པ།_ཐ་མི་དད་པ+རྒ_འདས་པ།_ཐ་མི་དད་པ
རྒུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རྒོལ | བརྒལ_སྐུལ་ཚིག_ཐ་དད་པ+བརྒལ_ད་ལྟ་བ།_ཐ་དད་པ+རྒལ_སྐུལ་ཚིག_ཐ་དད་པ+རྒལ_སྐུལ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+རྒོལ_སྐུལ་ཚིག_###
རྒྱ | རྒྱ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒྱ_མ་འོངས་པ།_ཐ་མི་དད་པ
རྒྱག | བརྒྱག_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱབ_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱག_ད་ལྟ་བ།_###+རྒྱག_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱོབ_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱོགས_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱགས_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱག_ད་ལྟ་བ།_###
རྒྱགས | རྒྱགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒྱགས_ད་ལྟ་བ།_###+བརྒྱག_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྒྱན | རྒྱན_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱན_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱན_ད་ལྟ་བ།_ཐ་དད་པ
རྒྱལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རྒྱས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+རྒྱ_འདས་པ།_ཐ་མི་དད་པ
རྒྱུ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_ཐ་དད་པ
རྒྱུག | རྒྱུགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྒྱུགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒྱུག_ད་ལྟ་བ།_###+རྒྱུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྒྱུག_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྒྱུགས | རྒྱུག_སྐུལ་ཚིག_###+བརྒྱུགས_སྐུལ་ཚིག_ཐ་མི་དད་པ+བརྒྱུག_སྐུལ་ཚིག_ཐ་མི་དད་པ+རྒྱུགས_སྐུལ་ཚིག_ཐ་མི་དད་པ+རྒྱུག_སྐུལ་ཚིག_ཐ་མི་དད་པ
རྒྱུང | རྒྱུངས_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱུངས_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱུང_ད་ལྟ་བ།_ཐ་དད་པ+བྱ་ཚིག_###+བརྒྱུང_ད་ལྟ་བ།_ཐ་དད་པ
རྒྱུངས | རྒྱུང_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱུངས_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱུང_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱུངས_སྐུལ་ཚིག_ཐ་དད་པ
རྒྱུད | བརྒྱུ_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱུས_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱུས_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱུད_ད་ལྟ་བ།_ཐ་དད་པ
རྒྱུས | བརྒྱུ_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱུད_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱུས_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱུས_སྐུལ་ཚིག_ཐ་དད་པ
རྒྱོ | བརྒྱོ_ད་ལྟ་བ།_ཐ་དད་པ+བརྒྱོས_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱོ_ད་ལྟ་བ།_ཐ་དད་པ+རྒྱོས_ད་ལྟ་བ།_ཐ་དད་པ
རྒྱོགས | རྒྱག_སྐུལ་ཚིག_###+བརྒྱག_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱགས_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱོགས_སྐུལ་ཚིག_ཐ་དད་པ
རྒྱོང | རྒྱོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྒྱང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྒྱངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྒྱོངས_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྒྱོངས | བརྒྱངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+རྒྱོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+རྒྱོངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+བརྒྱང_སྐུལ་ཚིག_ཐ་མི་དད་པ
རྒྱོན | བརྒྱན_སྐུལ་ཚིག_ཐ་དད་པ
རྒྱོབ | རྒྱག_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱག_སྐུལ་ཚིག_###+རྒྱོབ_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱག_སྐུལ་ཚིག_###+བརྒྱབ_སྐུལ་ཚིག_ཐ་དད་པ
རྒྱོས | བརྒྱོས_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱོས_སྐུལ་ཚིག_ཐ་དད་པ+བརྒྱོ_སྐུལ་ཚིག_ཐ་དད་པ+རྒྱོ_སྐུལ་ཚིག_ཐ་དད་པ
རྔ | བརྔས_ད་ལྟ་བ།_ཐ་དད་པ+བརྔ_ད་ལྟ་བ།_ཐ་དད་པ+རྔ_ད་ལྟ་བ།_ཐ་དད་པ+རྔོས_ད་ལྟ་བ།_ཐ་དད་པ
རྔན | རྔན_ད་ལྟ་བ།_ཐ་དད་པ+རྔན_ད་ལྟ་བ།_###+རྔོན_ད་ལྟ་བ།_ཐ་དད་པ
རྔབ | རྔབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྔབས_ད་ལྟ་བ།_ཐ་དད་པ+བརྔབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྔམ | རྔམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྔམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྔོམས_ད་ལྟ་བ།_ཐ་དད་པ+རྔམ_ད་ལྟ་བ།_ཐ་དད་པ+བརྔམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྔམས_ད་ལྟ་བ།_ཐ་དད་པ+བརྔམ_ད་ལྟ་བ།_ཐ་དད་པ
རྔུབ | རྔུབས_ད་ལྟ་བ།_ཐ་དད་པ+རྔུབ_ད་ལྟ་བ།_ཐ་དད་པ+བརྔུབས_ད་ལྟ་བ།_ཐ་དད་པ+བརྔུབ_ད་ལྟ་བ།_ཐ་དད་པ
རྔུབས | བརྔུབས_སྐུལ་ཚིག_ཐ་དད་པ+བརྔུབ_སྐུལ་ཚིག_ཐ་དད་པ+རྔུབས_སྐུལ་ཚིག_ཐ་དད་པ+རྔུབ_སྐུལ་ཚིག_ཐ་དད་པ
རྔུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རྔོད | བརྔོས_ད་ལྟ་བ།_ཐ་དད་པ+བརྔོད_ད་ལྟ་བ།_ཐ་དད་པ+རྔོད_ད་ལྟ་བ།_ཐ་དད་པ+རྔོས_ད་ལྟ་བ།_###+རྔོད_ད་ལྟ་བ།_###+རྔོད_སྐུལ་ཚིག_ཐ་དད་པ+བརྔོད_སྐུལ་ཚིག_ཐ་དད་པ+བརྔོ_ད་ལྟ་བ།_ཐ་དད་པ
རྔོན | རྔན_སྐུལ་ཚིག_###+བརྔན_སྐུལ་ཚིག_ཐ་དད་པ+རྔོན_ད་ལྟ་བ།_###+རྔོན_སྐུལ་ཚིག_ཐ་དད་པ+བརྔན_ད་ལྟ་བ།_ཐ་དད་པ+བརྔོན_སྐུལ་ཚིག_ཐ་དད་པ+རྔན_སྐུལ་ཚིག_ཐ་དད་པ+རྔོན_སྐུལ་ཚིག_###+བརྔོན_ད་ལྟ་བ།_ཐ་དད་པ
རྔོམས | བརྔམས_སྐུལ་ཚིག_ཐ་དད་པ+བརྔམ_སྐུལ་ཚིག_ཐ་དད་པ+རྔམ_སྐུལ་ཚིག_ཐ་དད་པ+རྔོམས_སྐུལ་ཚིག_ཐ་དད་པ
རྔོས | རྔོད_སྐུལ་ཚིག_###+བརྔོས_སྐུལ་ཚིག_ཐ་དད་པ+བརྔོ_སྐུལ་ཚིག_ཐ་དད་པ+བརྔས_སྐུལ་ཚིག_ཐ་དད་པ+རྔོད_སྐུལ་ཚིག_ཐ་དད་པ+རྔོས_སྐུལ་ཚིག_###+རྔོས_སྐུལ་ཚིག_ཐ་དད་པ+རྔ_སྐུལ་ཚིག_ཐ་དད་པ+བརྔ_སྐུལ་ཚིག_ཐ་དད་པ
རྗེ | རྗེས_ད་ལྟ་བ།_ཐ་དད་པ+བརྗེས_ད་ལྟ་བ།_ཐ་དད་པ+བརྗེ_ད་ལྟ་བ།_ཐ་དད་པ+རྗེ_ད་ལྟ་བ།_ཐ་དད་པ
རྗེད | བརྗེད_སྐུལ་ཚིག_###+རྗེད_ད་ལྟ་བ།_ཐ་དད་པ+བརྗེད_ད་ལྟ་བ།_###+བརྗེད_ད་ལྟ་བ།_ཐ་དད་པ+རྗེད_སྐུལ་ཚིག_ཐ་དད་པ+རྗེད_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྗེས | བརྗེ_སྐུལ་ཚིག_ཐ་དད་པ+རྗེ_སྐུལ་ཚིག_ཐ་དད་པ+རྗེས_སྐུལ་ཚིག_ཐ་དད་པ+བརྗེས_སྐུལ་ཚིག_ཐ་དད་པ
རྗོད | རྗོད_ད་ལྟ་བ།_ཐ་དད་པ+བརྗོད_ད་ལྟ་བ།_ཐ་དད་པ+བརྗོད_སྐུལ་ཚིག_ཐ་དད་པ+རྗོད_སྐུལ་ཚིག_ཐ་དད་པ
རྙ | བརྙ_ད་ལྟ་བ།_ཐ་དད་པ+བརྙས_ད་ལྟ་བ།_ཐ་དད་པ+རྙ_ད་ལྟ་བ།_ཐ་དད་པ+རྙོས_ད་ལྟ་བ།_ཐ་དད་པ
རྙང | བརྙངས_ད་ལྟ་བ།_ཐ་དད་པ+རྙང_ད་ལྟ་བ།_ཐ་དད་པ
རྙབ | རྙོབས_ད་ལྟ་བ།_ཐ་དད་པ+བརྙབ_ད་ལྟ་བ།_ཐ་དད་པ+རྙབ_ད་ལྟ་བ།_ཐ་དད་པ+བརྙབས_ད་ལྟ་བ།_ཐ་དད་པ
རྙིང | བརྙིངས_ད་ལྟ་བ།_ཐ་དད་པ+རྙིང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྙིང_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྙིད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
རྙེད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
རྙོག | རྙོག_ད་ལྟ་བ།_ཐ་དད་པ+རྙོགས_ད་ལྟ་བ།_ཐ་དད་པ
རྙོགས | རྙོགས_སྐུལ་ཚིག_ཐ་དད་པ+རྙོག_སྐུལ་ཚིག_ཐ་དད་པ
རྙོང | བརྙོངས_ད་ལྟ་བ།_ཐ་དད་པ+བརྙོང_ད་ལྟ་བ།_ཐ་དད་པ+རྙོང_ད་ལྟ་བ།_###+རྙོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྙོངས_ད་ལྟ་བ།_ཐ་དད་པ+རྙོང_ད་ལྟ་བ།_ཐ་དད་པ
རྙོངས | རྙོང_སྐུལ་ཚིག_###+རྙང_སྐུལ་ཚིག_ཐ་དད་པ+རྙོངས_སྐུལ་ཚིག_ཐ་དད་པ+རྙོང_སྐུལ་ཚིག_ཐ་དད་པ+བརྙངས_སྐུལ་ཚིག_ཐ་དད་པ+བརྙོངས_སྐུལ་ཚིག_ཐ་དད་པ+བརྙོང_སྐུལ་ཚིག_ཐ་དད་པ
རྙོན | བརྙན_སྐུལ་ཚིག_ཐ་དད་པ+རྙོན_སྐུལ་ཚིག_ཐ་དད་པ+རྙོན_ད་ལྟ་བ།_ཐ་དད་པ+བརྙན_ད་ལྟ་བ།_ཐ་དད་པ
རྙོབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རྙོབས | རྙོབས_སྐུལ་ཚིག_ཐ་དད་པ+བརྙབས_སྐུལ་ཚིག_ཐ་དད་པ+བརྙབ_སྐུལ་ཚིག_ཐ་དད་པ+རྙབ_སྐུལ་ཚིག_ཐ་དད་པ
རྙོས | བརྙས_སྐུལ་ཚིག_ཐ་དད་པ+རྙ_སྐུལ་ཚིག_ཐ་དད་པ+རྙོས_སྐུལ་ཚིག_ཐ་དད་པ+བརྙ_སྐུལ་ཚིག_ཐ་དད་པ
རྟབ | བརྟབས_ད་ལྟ་བ།_ཐ་དད་པ+བརྟབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྟབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྟས | རྟས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྟ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྟས_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྟིབ | རྟིབས_ད་ལྟ་བ།_ཐ་དད་པ+བརྟིབས_ད་ལྟ་བ།_ཐ་དད་པ
རྟིབས | རྟིབས_སྐུལ་ཚིག_ཐ་དད་པ+བརྟིབས_སྐུལ་ཚིག_ཐ་དད་པ
རྟུན | རྟུན_ད་ལྟ་བ།_ཐ་དད་པ+རྟུན_སྐུལ་ཚིག_ཐ་དད་པ+བརྟུན_ད་ལྟ་བ།_ཐ་དད་པ+བརྟུན_སྐུལ་ཚིག_ཐ་དད་པ
རྟུལ | བརྟུལ_སྐུལ་ཚིག_ཐ་དད་པ+རྟུལ_སྐུལ་ཚིག_ཐ་དད་པ+བརྟུལ_ད་ལྟ་བ།_ཐ་དད་པ+རྟུལ_ད་ལྟ་བ།_###+རྟུལ_སྐུལ་ཚིག_###+རྟུལ_ད་ལྟ་བ།_ཐ་དད་པ
རྟེན | བརྟེན_སྐུལ་ཚིག_ཐ་དད་པ+རྟེན_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྟེན_ད་ལྟ་བ།_ཐ་དད་པ+རྟེན_སྐུལ་ཚིག_ཐ་མི་དད་པ
རྟོག | བརྟགས_ད་ལྟ་བ།_ཐ་དད་པ+རྟོག_ད་ལྟ་བ།_ཐ་དད་པ+བརྟག_ད་ལྟ་བ།_ཐ་དད་པ+རྟོགས_ད་ལྟ་བ།_ཐ་དད་པ
རྟོགས | བརྟགས_སྐུལ་ཚིག_ཐ་དད་པ+རྟོག_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+རྟོགས_སྐུལ་ཚིག_ཐ་དད་པ+བརྟག_སྐུལ་ཚིག_ཐ་དད་པ
རྟོད | བརྟོད_སྐུལ་ཚིག_ཐ་དད་པ+རྟོད_སྐུལ་ཚིག_ཐ་དད་པ+བརྟོད_ད་ལྟ་བ།_ཐ་དད་པ+རྟོད_ད་ལྟ་བ།_ཐ་དད་པ
རྟོན | རྟོན_ད་ལྟ་བ།_ཐ་དད་པ+བརྟན_སྐུལ་ཚིག_ཐ་དད་པ+བརྟན_ད་ལྟ་བ།_ཐ་དད་པ+རྟོན_སྐུལ་ཚིག_ཐ་དད་པ
རྟོལ | རྟོལ_སྐུལ་ཚིག_ཐ་དད་པ+བརྟོལ_སྐུལ་ཚིག_ཐ་དད་པ+བརྟོལ_ད་ལྟ་བ།_ཐ་དད་པ+རྟོལ_ད་ལྟ་བ།_ཐ་དད་པ+རྟོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྟོལ_ད་ལྟ་བ།_###+རྟོལ_སྐུལ་ཚིག_###
རྡབ | བརྡབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྡབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྡབས_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྡར | རྡོར_ད་ལྟ་བ།_ཐ་དད་པ+རྡར_ད་ལྟ་བ།_ཐ་དད་པ+རྡར_ད་ལྟ་བ།_###+བརྡར_ད་ལྟ་བ།_ཐ་དད་པ
རྡལ | རྡལ_ད་ལྟ་བ།_ཐ་དད་པ+བརྡལ_ད་ལྟ་བ།_ཐ་དད་པ+རྡོལ_ད་ལྟ་བ།_ཐ་དད་པ
རྡིབ | བརྡིབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྡིབས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྡིབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྡིབ_ད་ལྟ་བ།_###
རྡིབས | བརྡིབ_སྐུལ་ཚིག_ཐ་མི་དད་པ+བརྡིབས_སྐུལ་ཚིག_ཐ་མི་དད་པ
རྡུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རྡུང | རྡུང_ད་ལྟ་བ།_ཐ་དད་པ+རྡུང_ད་ལྟ་བ།_###+རྡུངས_ད་ལྟ་བ།_ཐ་དད་པ+བརྡུང_ད་ལྟ་བ།_ཐ་དད་པ+བརྡུངས_ད་ལྟ་བ།_ཐ་དད་པ
རྡུངས | རྡུང_སྐུལ་ཚིག_###+རྡུང_སྐུལ་ཚིག_ཐ་དད་པ+རྡུངས_སྐུལ་ཚིག_ཐ་དད་པ+བརྡུངས_སྐུལ་ཚིག_ཐ་དད་པ+བརྡུང_སྐུལ་ཚིག_ཐ་དད་པ
རྡེག | རྡེག_ད་ལྟ་བ།_ཐ་དད་པ+རྡེགས_ད་ལྟ་བ།_ཐ་དད་པ+བརྡེག_ད་ལྟ་བ།_ཐ་དད་པ+བརྡེགས_ད་ལྟ་བ།_ཐ་དད་པ
རྡེགས | བརྡེགས_སྐུལ་ཚིག_ཐ་དད་པ+བརྡེག_སྐུལ་ཚིག_ཐ་དད་པ+རྡེགས_སྐུལ་ཚིག_ཐ་དད་པ+རྡེག_སྐུལ་ཚིག_ཐ་དད་པ
རྡེབ | རྡོབས_ད་ལྟ་བ།_ཐ་དད་པ+རྡེབ_ད་ལྟ་བ།_###+བརྡབས_ད་ལྟ་བ།_ཐ་དད་པ+རྡེབ_ད་ལྟ་བ།_ཐ་དད་པ+བརྡབ_ད་ལྟ་བ།_ཐ་དད་པ
རྡེབས | རྡེབ_སྐུལཚིག_འབྲི་ཚུལ
རྡོབས | བརྡབ_སྐུལ་ཚིག_ཐ་དད་པ+རྡེབ_སྐུལ་ཚིག_ཐ་དད་པ+རྡོབས_སྐུལ་ཚིག_ཐ་དད་པ+བརྡབས_སྐུལ་ཚིག_ཐ་དད་པ
རྡོར | རྡོར_སྐུལ་ཚིག_ཐ་དད་པ+རྡར_སྐུལ་ཚིག_###+བརྡར_སྐུལ་ཚིག_ཐ་དད་པ+རྡར_སྐུལ་ཚིག_ཐ་དད་པ
རྡོལ | རྡོལ_སྐུལ་ཚིག_ཐ་དད་པ+རྡོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྡོལ_ད་ལྟ་བ།_###+བརྡོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བརྡལ_སྐུལ་ཚིག_ཐ་དད་པ+རྡལ_སྐུལ་ཚིག_ཐ་དད་པ
རྡོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
རྣག | རྣག_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྣག_མ་འོངས་པ།_ཐ་མི་དད་པ
རྣགས | རྣག_འདས་པ།_ཐ་མི་དད་པ
རྣབ | བརྣབ_ད་ལྟ་བ།_ཐ་དད་པ+རྣབ_ད་ལྟ་བ།_ཐ་དད་པ+བརྣབས_ད་ལྟ་བ།_ཐ་དད་པ+རྣོབས_ད་ལྟ་བ།_ཐ་དད་པ
རྣུ | བརྣུར_ད་ལྟ་བ།_ཐ་དད་པ+བརྣུ_ད་ལྟ་བ།_ཐ་དད་པ+རྣུ_ད་ལྟ་བ།_ཐ་དད་པ+རྣུར_ད་ལྟ་བ།_ཐ་དད་པ
རྣུར | རྣུར_སྐུལ་ཚིག_ཐ་དད་པ+བརྣུ_སྐུལ་ཚིག_ཐ་དད་པ+བརྣུར_སྐུལ་ཚིག_ཐ་དད་པ+རྣུ_སྐུལ་ཚིག_ཐ་དད་པ
རྣོག | བརྣག_ད་ལྟ་བ།_ཐ་དད་པ+རྣོག_ད་ལྟ་བ།_###+བརྣགས_ད་ལྟ་བ།_ཐ་དད་པ+རྣོག_ད་ལྟ་བ།_ཐ་དད་པ
རྣོགས | བརྣག_སྐུལ་ཚིག_ཐ་དད་པ+བརྣགས_སྐུལ་ཚིག_ཐ་དད་པ+རྣོག_སྐུལ་ཚིག_ཐ་དད་པ+རྣོག_སྐུལ་ཚིག_###
རྣོང | རྣོང_ད་ལྟ་བ།_ཐ་དད་པ+བརྣང_ད་ལྟ་བ།_ཐ་དད་པ
རྣོན | རྣོན_ད་ལྟ་བ།_ཐ་དད་པ+བརྣན_ད་ལྟ་བ།_ཐ་དད་པ+བརྣན_སྐུལ་ཚིག_ཐ་དད་པ+རྣོན_སྐུལ་ཚིག_ཐ་དད་པ
རྣོབས | བརྣབ_སྐུལ་ཚིག_ཐ་དད་པ+རྣབ_སྐུལ་ཚིག_ཐ་དད་པ+བརྣབས_སྐུལ་ཚིག_ཐ་དད་པ+རྣོབས_སྐུལ་ཚིག_ཐ་དད་པ
རྦད | རྦད_འདས་པ།_ཐ་དད་པ+རྦོད_འདས་པ།_ཐ་དད་པ+རྦད_མ་འོངས་པ།_ཐ་དད་པ+རྦོད_མ་འོངས་པ།_ཐ་དད་པ
རྦོ | སྦོ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
རྦོད | རྦོད_སྐུལ་ཚིག_ཐ་དད་པ+རྦད_སྐུལ་ཚིག_ཐ་དད་པ+རྦད_ད་ལྟ་བ།_ཐ་དད་པ+རྦོད_ད་ལྟ་བ།_ཐ་དད་པ
རྦོས | སྦོས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
རྨད | རྨད_འདས་པ།_ཐ་དད་པ+རྨེད_འདས་པ།_ཐ་དད་པ+རྨེད_མ་འོངས་པ།_ཐ་དད་པ+རྨད_མ་འོངས་པ།_ཐ་དད་པ
རྨས | རྨེད_འདསཔ_འབྲི་ཚུལ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
རྨི | རྨིས_ད་ལྟ་བ།_ཐ་མི་དད་པ+རྨི_མ་འོངས་པ།_ཐ་མི་དད་པ+རྨིས_མ་འོངས་པ།_ཐ་མི་དད་པ+རྨི_ད་ལྟ་བ།_ཐ་མི་དད་པ
རྨིས | རྨི_འདས་པ།_ཐ་མི་དད་པ+རྨིས_འདས་པ།_ཐ་མི་དད་པ
རྨུག | རྨུག_ད་ལྟ་བ།_ཐ་དད་པ+རྨུག_མ་འོངས་པ།_ཐ་དད་པ+རྨུགས_ད་ལྟ་བ།_ཐ་དད་པ+རྨུགས_མ་འོངས་པ།_ཐ་དད་པ
